label-coarse,text
1,What is the only substance that gives food its `` taste '' when eaten ?
OTHERS,How do you reference a website ?
OTHERS,What is pandoro ?
2,What do the letters ZIP stand for in the phrase `` ZIP code '' ?
OTHERS,Which Bourbon king was restored to the French throne during Napoleon 's abdication ?
5,What is one of the cities that the University of Minnesota is located in ?
OTHERS,What are the words to `` My Way '' written by Paul Anka ?
OTHERS,How do I install a tile floor ?
1,What is the quickest and easiest way to get nail polish out of clothes ?
OTHERS,Why was the zipper invented ?
1,What 's the No. 1 killer in industrialized countries ?
1,Name four famous cartoon cats .
OTHERS,What daughter of Henry VIII and Anne Boleyn became queen of England ?
OTHERS,How did ` stat ' come to be used as an expression for quickly ?
OTHERS,What 's the most common nickname of U.S. college football teams ?
OTHERS,What 's the distinction of U.S. Supreme Court Justice Thurgood Marshall ?
5,What is the world 's highest peak ?
OTHERS,What was a Mae West on a World War II battleship ?
OTHERS,Define cosmology .
OTHERS,What comedienne upstaged Dwight D. Eisenhower 's first inauguration by giving birth to her first child ?
OTHERS,What are amicable numbers ?
4,When were the Olympic Games in which Nadia Comaneci became popular played ?
5,"Where is Hearst Castle , built by publisher William Randolph Hearst ?"
5,What 's the largest U.S. city on the Great Lakes ?
OTHERS,Who sang about Desmond and Molly Jones ?
1,"What magazine gives us the cream , not the skim ?"
1,What does the technique called `` cold fusion '' produce ?
OTHERS,What costume designer decided that Michael Jackson should only wear one glove ?
1,"What meter did Shakespeare use in writing : `` To be , or not to be , that is the question.. . '' ?"
4,How many rows of sprocket holes does a roll of 35-millimeter film have ?
4,What is the goat population of the world ?
OTHERS,What company was the original sponsor of TV 's Superman ?
1,What term does a Czech use to describe a Pole ?
5,What sea separates Naples and Algiers ?
4,How many lawyers are there in the state of New Jersey ?
1,What are the most common elements in seawater ?
OTHERS,Describe the Finnish music personality Salonen 's appearance .
OTHERS,What is the origin of the ethnic category `` caucasian '' ?
1,What kind of science is cosmology ?
OTHERS,Name the blind sculptress in love with the Fantastic Four 's Thing .
1,What 's the second-lightest element ?
1,What do you call a `` twirl '' in ballet ?
1,What is the brand name of daminozide ?
OTHERS,What National Basketball Association superstar told his story in Giant Steps ?
1,What animals did The Amazing Three masquerade as ?
OTHERS,How did the bikini bathing suite get its name ?
4,When did Fraze get his first patent for the pull-tab can ?
4,How many games are played in a five-team round-robin tournament ?
OTHERS,Who developed the first polio vaccine ?
OTHERS,Who made the first gas engine ?
5,"What country claimed Rubens , Van Dyck and Bruegel as citizens ?"
1,What civil war was fought between 1936 and 1939 ?
4,How many questions do you have on your database ?
OTHERS,How do clouds form ?
5,Where can I find examples of legal cases about the Individuals with Disabilities Education Act ?
OTHERS,What character did Tex Avery first create upon arriving at MGM ?
OTHERS,What Asian spiritual and political leader was married at the age of 13 ?
5,Where is Ocho Rios ?
OTHERS,What is the half-life of P-32 ?
5,What ocean does Mauritania border ?
OTHERS,Why do pressure cookers save time in the kitchen ?
OTHERS,Why are there 12 people on a jury in criminal cases ?
OTHERS,What do Christian Scientists believe in ?
1,"What World War I battle saw 6 , 0 troops killed in one day ?"
5,What country is Kosovo a part of ?
1,What computer operating system is on the most computers ?
5,What is Bill Gross 's email address ?
OTHERS,What is the economic impact of unemployment on the economy ?
2,"What do the letters D.C. stand for in Washington , D.C. ?"
1,What animals can live the longest without food ?
OTHERS,What English queen had seventeen children ?
4,"What is the approximate population of Las Vegas , N.M ?"
4,How much does the President get paid ?
OTHERS,What two baseball players make up the battery ?
1,What 's the largest letter in Salvador Dali 's signature ?
1,What does an irate car owner call iron oxide ?
4,"Of children between the ages of two and eleven , what percentage watch `` The Simpsons '' ?"
5,What 's the northernmost U.S. state apart from Alaska ?
5,Name an art gallery in New York .
OTHERS,Who sells Viagra ?
OTHERS,What is the Home Rule Act ?
5,What building are British monarchs crowned in ?
OTHERS,What are Bellworts ?
OTHERS,Who was Darius ?
1,What movie told of Anna Anderson 's claim to be a Russian czar 's daughter ?
OTHERS,Who did Dita Beard work for ?
1,What kind of creature is a coot ?
OTHERS,Name the university of which Woodrow Wilson was president .
5,"What country was first to use the airplane as a weapon of war , against the Turks in Libya ?"
OTHERS,What university was Woodrow Wilson President of ?
1,What is a fear of disease ?
1,What kind of meat is Fray Bentos synonymous with ?
OTHERS,What are the words to the Canadian National anthem ?
1,What is the name of the Jewish alphabet ?
OTHERS,Who served as inspiration for the schoolteacher portrayed by Robin Williams in `` Dead Poets Society '' ?
4,What is Columbia Tristar 's phone number ?
OTHERS,Which one of the original seven Mercury program astronauts did not fly on any of the Mercury flights ?
OTHERS,Who is the best known villain of the 165 Gunpowder Plot ?
5,What is the capital of Burkina Faso ?
5,What continent is Bolivia on ?
OTHERS,Why was Muhammad Ali stripped of his title and barred from boxing in 1967 ?
OTHERS,"Who killed more people , Hitler or Stalin ?"
OTHERS,What caused Shea & Gould to close their L.A. office ?
1,What 's the only mammal that can 't jump ?
5,What U.S. state has the most blondes ?
1,What war saw battles at Parrot 's Beak and Black Virgin ?
4,What was the U.S. highway death toll in 1969 ?
OTHERS,What does the name Kelly mean ?
OTHERS,What is a phalanx ?
OTHERS,What mustachioed comedian portrayed Frankie in North to Alaska ?
4,What does each of the utilities cost in Monopoly ?
OTHERS,"What actor and World War II airman had a $5 , 0 bounty put on his head by Hermann Goering ?"
2,What does e.g. stand for ?
1,What is the name of the medical condition in which a baby is born without a brain ?
OTHERS,How do storms form ?
OTHERS,Who is Nicolo Paganini ?
5,What city is often called The Insurance Capital of the World ?
1,What are the three animals in Sheila Burnford 's The Incredible Journey ?
OTHERS,Who portrayed Dracula in Hammer Studios ' films ?
1,Name one of the Seven Wonders of the Ancient World .
4,When were fish first believed to be found on earth ?
OTHERS,"What President 's favorite Biblical quotation was : `` Come now , and let us reason together '' ."
OTHERS,Name the food company that traveled to Soviet Georgia to film a series of ads .
5,What country was Sir Edmund Hillary born in ?
1,What 's an infant seal called ?
OTHERS,"What was the proper Laugh-In respones to : `` Say goodnight , Dick '' ?"
4,How long does a dog sleep ?
1,What 1963 Joseph L. Mankiewicz film cost $28 million ?
OTHERS,What Japanese electronics company was named for a coastal city northeast of Tokyo ?
4,What can you be fined for having a dog on a beach ?
5,Where did the Battle of the Bulge take place ?
4,How much will the California be in the year 2000 ?
OTHERS,"What mystery writer penned `` ...the glory that was Greece , and the grandeur that was Rome '' ?"
1,Name Li 'l Abner 's favorite Indian drink .
1,What are some important events of the 1830 's ?
4,The Iraqis launched their attack on Kuwait on what day ?
1,"What did 8 , CD NNS VBP TO VB NNP POS NN ."
OTHERS,What is God ?
5,What country 's northernmost city is Darwin ?
5,"What sound does Olympia , Washington , overlook ?"
1,What TV show chronicled the lives of Katy Holstrum and Congressman Glen Morley ?
5,What Kentucky city calls itself The Horse Center of America ?
4,How many penny-farthings are there on a Trivial Pursuit game board ?
5,"What European country boasts the city of Furth , found where the rivers Rednitz and Pegnitz converge ?"
5,What U.S. state is Dixville Notch in ?
5,"Where was the Cisalpine Republic , 1797-185 , ?"
5,What is the largest shopping mall in the world ?
OTHERS,What is the protagonist 's name in Dostoevski 's `` The Idiot '' ?
1,What penalty space lies between Baltic Avenue and Reading Railroad on a Monopoly board ?
OTHERS,What presidential press secretary dismissed Watergate as a third-rate burglary attempt ?
OTHERS,What is a meerkat ?
OTHERS,Who was Jean Nicolet ?
1,What kind of animal was Winnie the Pooh ?
OTHERS,Which of these are authors ?
1,What 's the international radio code word for the letter B ?
OTHERS,Who was the original Humpty Dumpty ?
OTHERS,What is cache memory ?
1,Aspartame is also known as what ?
5,Where is the location of the Orange Bowl ?
4,When is President Nixon 's birthday ?
OTHERS,"What is the origin of the midwest slang , ` you 're darn tootin ' ?"
OTHERS,Whose cupboard was bare ?
5,What are the seven seas ?
OTHERS,What is the difference between jazz and blues ?
OTHERS,What is the C programming language ?
OTHERS,What 's the name of Popeye 's adopted son ?
OTHERS,Who invented the vacuum cleaner ?
OTHERS,What is a ` borrow pit ' ?
OTHERS,What 2th-century fictional character attends Pencey Prep School ?
4,How many people in the USA say their number one source of information is the newspaper ?
OTHERS,"Who does Shakespeare 's Antonio borrow 3 , 0 ducats from ?"
5,Which country is known as `` Big Bear '' ?
1,"What `` melts in your mouth , not in your hands '' ."
4,How many times a day should you take a prescription marked `` q.i.d . '' ?
OTHERS,What is the origin of the atom ?
OTHERS,What two commanders directed the forces in the Battle of El Alamein ?
OTHERS,Name the creator of `` The Muppets '' .
OTHERS,How do I e-mail someone at aol.com from yahoo.com ?
OTHERS,Who replies `` I know '' to Princess Leia 's confession `` I love you '' in The Empire Strikes Back ?
OTHERS,What is the meaning of the name Ella ?
5,What 's the home of the Rockettes ?
5,"Where can I find all the information I need to know about the English Civil War , 1642-1649 , ?"
OTHERS,What is the name of the firm that makes Spumante ?
1,What sport is played on the largest field ?
OTHERS,Who won the 1967 Academy Award for Best Actor ?
1,What is after death ?
OTHERS,Name the first private citizen to fly in space .
OTHERS,What was football star Elroy Hirsch 's nickname ?
OTHERS,What singer sings `` Oh Boy '' ?
5,What is the website for the USA journal ?
OTHERS,What army 's motto is Blood and Fire ?
1,What kind of patent did Ermal Fraze get in 1963 ?
OTHERS,What are you hearing when you put a seashell to your ear ?
1,Which gender has bigger thighs ?
5,What U.S. state has the second-longest coastline ?
5,What state 's home to the Buffalo Bill Historical Center ?
4,How fast do cheetahs run ?
1,What is Ray Bradbury 's illustrated man illustrated with ?
4,How fast is a 45Mhz processor ?
1,"What kind of puzzle first appeared in the U.S. in the New York World on December 21 , 1913 ?"
OTHERS,What count did Alexandre Dumas write about ?
4,What are the odds of giving birth to twins ?
5,What is the largest natural lake in Pennsylvania ?
4,How far is London UK from California ?
1,Name the two mystical ravens Odin has at his command .
1,What was the species of Winnie the Pooh ?
OTHERS,What is the virus HIV ?
1,What Hermann Hesse book gave its name to a rock group ?
1,What book is the follow-up to Future Shock ?
1,What African animals are known as The Big Five ?
1,What is the alphabet for Latin ?
1,What is the fear of frogs ?
5,Which city in Canada is the least-populated ?
4,How old is Stevie Wonder ?
OTHERS,Who is Luke Skywalker 's father ?
OTHERS,What is the definition of the term `` weapons system '' ?
OTHERS,What are Christopher Marlowe 's and Shakespeare 's literary contributions to English literature ?
1,What is Nero Wolfe 's favorite drink during office hours ?
OTHERS,What is the first personal computer company ?
1,What is the most efficient way to start a barbeque ?
OTHERS,Why are there Braille things on the ATM machines that people drive through ?
5,Where is the Isle of Man ?
1,What book did Aaron Hass write ?
4,What was the death toll at the eruption of Mount Pinatubo ?
4,When will the millennium officially begin ?
OTHERS,"Who created the comic strip , `` Garfield '' ?"
OTHERS,Which Vietnamese terrorist is now a UN delegate in Doonesbury ?
OTHERS,What is real time processing ?
5,What do we call the imaginary line along the top of the Rocky Mountains ?
5,What country 's capital is Lagos ?
5,Where does Ray Bradbury 's Chronicles take place ?
OTHERS,Who is the current prime minister and president of Russia ?
OTHERS,Who established a Viking colony in Greenland about 985 ?
1,What was the distinguishing mark on the `` Little Rascals '' dog ?
4,"What is the latitude and longitude of El Paso , Texas ?"
5,Where did Honecker rule ?
OTHERS,What is the theory of equivalence states ?
1,What does a philatelist collect ?
4,What is the life span of the average monkey ?
4,How many member states are in the UN ?
OTHERS,Who shot and killed himself while painting Wheatfield with Crows ?
OTHERS,What will happen when sodium is put in water ?
OTHERS,What future President became Senate majority whip under Harry Truman ?
OTHERS,Who was the architect of Central Park ?
1,Which operating system runs on IBM-compatible machines ?
4,What are the dimensions of an ice hockey goal ?
4,When was CNN 's first broadcast ?
1,What are the signs of a country going into a recession ?
OTHERS,What is the circumorbital hematoma ?
5,What African country is governed from Ouagadougou ?
OTHERS,What was the Christian name of the title character in Our Miss Brooks ?
OTHERS,What hard-of hearing artist painted Sunflowers ?
OTHERS,Who were the Yankee 's frequent enemies ?
OTHERS,Who wrote Sons and Lovers ?
1,What is the English translation for the word `` caliente '' ?
5,What French seaport claims to be The Home of Wines ?
4,How long does it take sunlight to reach Earth ?
4,How many milliseconds in a second ?
OTHERS,What Cherokee Indian gave his name to a tree ?
4,When were camcorders introduced in Malaysia ?
4,What is the chance of conceiving quadruplets ?
OTHERS,Who was the star of Leave It to Beaver ?
5,What countries have the largest armed forces in the world ?
OTHERS,What was William F. Cody 's better-known name ?
OTHERS,How do I increase my biceps ' size ?
OTHERS,Who did Richard Nixon tender his resignation to ?
OTHERS,Who was Thucydides ?
OTHERS,How is the element strontium purified ?
OTHERS,Which of the following rock 'n roll stars has a `` star '' on Hollywood Boulevard ?
OTHERS,What are tonsils for ?
1,"What molecules include fluorine , sodium and magnesium ?"
1,What was the name of the ball game played by the mayans ?
1,What was the sequel to The Moon 's Balloon ?
4,What is the exchange rate for Australian to American money ?
OTHERS,What is the origin of the word ` posh ' ?
OTHERS,How can anyone tell if a female had sexual intercourse ?
4,How many states did Richard Nixon carry in 1972 ?
1,What basketball maneuver did Bert Loomis invent ?
1,What is a good book to read for people who hate to read ?
1,What does a tarantula eat ?
1,What are the three secondary colors ?
OTHERS,What does the name `` Sabrina '' mean ?
OTHERS,Who took over as conductor of the Boston Pops after Arthur Fiedler 's long reign ?
1,What were the trials called which followed World War II ?
OTHERS,What is hebephrenia ?
OTHERS,What Nazi leader killed himself in jail just before he was to be executed as a war criminal ?
1,What famous events have happened on March 27 ?
OTHERS,Which company claimed to be `` the world 's biggest toy store '' ?
4,What brand number graces the black label of a bottle of Jack Daniel 's ?
1,What do I call the sons and daughters of my first cousins ?
OTHERS,What are Maid-Rites ?
5,What city is terrorized by Dracula in The Night Stalker ?
OTHERS,What do the names Andrew and Christina mean ?
1,What chocolate bar created by Frank Mars and his wife is often called a Milky Way with peanuts ?
OTHERS,Who is the fastest guitarist ?
1,What do camels store in their humps ?
1,What is the name of the second space shuttle ?
5,What is the best hospital for orthopedics in the country ?
OTHERS,What are perfect tenses ?
OTHERS,What is commonly considered the fifth sense ?
1,What was another name for East Germany ?
1,What 's the second-biggest-selling magazine in America ?
OTHERS,Who betrayed Norway to the Nazis ?
OTHERS,Who took the toys donated for the Doodyville Orphans ' Fund and kept them for himself ?
OTHERS,What is a bourdon tube ?
1,What kind of a sports team is the Wisconsin Badgers ?
OTHERS,Who were the Picts ?
OTHERS,"What do Caroll Baker , Tammy Grimes , Debbie Reynolds , and Judy Garland all have in common ?"
OTHERS,Who is stationed at Camp Swampy in the comic strips ?
4,In what year did China and the Republic of Korea establish diplomatic relations ?
OTHERS,What causes tuberculosis ?
4,How tall is the giraffe ?
OTHERS,What actor dressed up as Santa Claus and had a once-a-year affair with actress Shelley Winters every Christmas for many years ?
1,What animal was the heat-seeking missile called the Sidewinder named for ?
4,How long did it take Stanley to find Livingstone ?
5,What lake is Sheboygan on ?
OTHERS,What are a baseball team 's firemen ?
1,What is a fear of color ?
1,What Nantucket shipwreck killed more divers exploring it than the 52 people it sank with ?
1,What are the two largest birds on earth ?
1,Name the four stories contained in Edith Wharton 's `` Old New York . ''
5,What is the largest lake in North America ?
4,How many people died because of a smoking problem in 1997 ?
1,What is chronic constipation a symptom of ?
OTHERS,Who wrote The Look of Love after viewing Ursula Andress ?
OTHERS,What is the name of the American swimmer who won seven gold medals in the 1972 Olympics ?
OTHERS,Who claims to have the greatest show on earth ?
OTHERS,What is Head Start ?
OTHERS,What Honeymooners actress did Television magazine name as 1953 's most promising star ?
OTHERS,Why can 't women serve in the Navy on board submarines ?
1,What did the Yalta Conference lead to ?
1,What dog was dubbed The Mortgage Lifter ?
OTHERS,What is saltpeter ?
OTHERS,What 's the difference between J.D. and LL.M. ?
OTHERS,What kind of organization is ` Last Chance for Animals ' ?
OTHERS,What was the role of the Medieval Guild ?
OTHERS,Silly putty was invented by whom ?
1,What should the oven be set at for baking Peachy Oat Muffins ?
OTHERS,How can someone become a federal agent ?
OTHERS,Who invented the paper clip ?
OTHERS,Whom did Lauren Bacall marry after her husband Humphrey Bogart died ?
5,What city or state do the most gay men live in ?
4,Shea and Gould had an office in Los Angeles for how long before closing it ?
1,"What word occurs 46 , 227 times in the Bible ?"
OTHERS,How can you be happy ?
OTHERS,How would someone go about becoming an organ donor ?
4,"What year did Degas create the bronze sculpture , `` Fourth Position Front ? ''"
4,How many URL extensions are there ? and what are they ?
4,How long after intercourse does it take to find out if you are pregnant ?
2,What does U.S.S.R. stand for ?
OTHERS,"Who created the Fantastic Four , Hulk , and Thor ?"
1,What is a fear of gravity ?
OTHERS,Who is the composer of `` Canon in D Major '' ?
OTHERS,What did n't Rocky Marciano do in his pro boxing career ?
5,Where are all European and American eels born ?
OTHERS,Who was the author of the novel `` Far From the Madding Crowd '' ?
OTHERS,What is the definition of ` graphic details ' ?
1,What was `` America 's recessed-filter cigarette '' ?
1,What kind of dog is Scooby Doo ?
OTHERS,What is the function of the appendix ?
OTHERS,What department store heir is responsible for raising a three-ton safe from the underwater wreckage of the Andrea Doria ?
1,Which sex is twice as likely to contract leprosy ?
5,What was the first town to be chartered in Vermont ?
5,What state has the longest Great Lakes shoreline ?
5,What U.S. state ends with a G ?
4,How many varieties of twins are there ?
OTHERS,What is a Cartesian Diver ?
5,What are the largest libraries in the US ?
4,How many people live in the Falklands ?
OTHERS,Who was Camp David named for ?
1,What document did President Andrew Johnson want a copy of placed under his head upon his burial ?
OTHERS,Who portrayed `` the man without a face '' in the movie of the same name ?
OTHERS,What happened in dogtown in 1899 to make that year remembered ?
1,What wheel did Blaise Pascal invent in a search for perpetual motion ?
4,How much money was the minimum wage in 1991 ?
4,In what year was the first patent for the pull-tab opener on cans obtained ?
5,What country boasts the most dams ?
4,What is the regular price ?
5,What Metropolis landmark was first introduced in the Superman cartoons of the 1940 's ?
5,Where can one find Mozambique ?
OTHERS,How do you recognize anorexia ?
1,What Mary Tyler Moore Show regular came into the world as Tadeus Wladyslaw Konopka ?
5,In what city is the US Declaration of Independence located ?
OTHERS,What is the largest variety of cactus ?
OTHERS,Who won the first World Series ?
1,What did Aaron Hass write ?
OTHERS,Who is Samuel Pickering ?
OTHERS,What was the business of the animated Sky Hawks ?
OTHERS,Who was credited with saying : `` I never met a man I did n't like '' ?
1,"What overalls are named for Dungri , a suburb of Bombay ?"
OTHERS,Why do rooftops give off steam after a big rainstorm ?
5,What nationality was Jackson Pollock ?
1,What is the connection between New Krypton and Daxam ?
4,When was Queen Victoria born ?
4,How many people were executed for Abraham Lincoln 's assassination ?
OTHERS,What must a Las Vegas blackjack dealer do when he reaches 16 ?
5,What is worth seeing in Reims ?
1,What type of performer is Ileana Cotrubas ?
4,When was Yemen reunified ?
1,What line of candy products included Super Skrunch and Peanut Butter Oompas ?
OTHERS,Why did the Anglican church split from the Vatican ?
OTHERS,What organization has a Security Council ?
OTHERS,How would I find the price of different organs that have been donated ?
OTHERS,What Mexican leader was shot dead in 1923 ?
2,What does NECROSIS mean ?
OTHERS,What is magnetar ?
1,"What feud ended with a marriage in Kentucky on March 21 , 1891 ?"
1,What color is the stripe along each side of a Coho salmon ?
4,What is the federal minimum wage ?
1,Mississippi is nicknamed what ?
4,What are the unemployment statistics for the years 1965 and 1990 ?
5,Where is Santa Lucia ?
OTHERS,What female painter produced primitives of rural New England life ?
OTHERS,What are names of two old men who appear in the serial tv Muppets Show ?
1,What war saw battles at Parrot 's Beak and Black Virgin ?
OTHERS,What should you yell to hail a taxi in Madrid ?
OTHERS,Who created Big Ben ?
5,What city is found in the city of OZ ?
OTHERS,What ever happened to the once popular Yale Lock Company ?
OTHERS,Name the Marvel team loosely based on DC 's Justice League of America ?
1,What did a 16th-century Aztec athlete get for putting a rubber ball through a ring ?
5,"What populous state covers 49 , 576 square miles ?"
OTHERS,What college football team did Knute Rockne build into a power ?
5,In what state was there an 11 million gallon oil spill ?
4,"When did Aldous Huxley write , `` Brave New World '' ?"
5,What country did the ancient Romans refer to as Hibernia ?
OTHERS,In what high-risk business venture did Jimmy the Greek bet and lose ?
1,What do chefs call The Master Spice ?
2,What is the abbreviation of General Motors ?
OTHERS,What is a Devo hat ?
4,How many people live in Tokyo ?
1,What are birds descendents of ?
OTHERS,"When the Tutankhamun exhibit was on display in the U.S. , what moving company transported it ?"
1,Which Kevin Costner movie involves the Sioux Indians ?
OTHERS,Who played the title role in My Favorite Martian ?
OTHERS,How does a scientific calculator work ?
1,What is a fear of fur ?
OTHERS,Who invented the game Scrabble ?
4,When did humans first begin to write history seriously ?
OTHERS,Why do we have to go to school ?
OTHERS,What is Toulmin logic ?
1,A corgi is a kind of what ?
5,What city in the U.S. experienced the most growth recently ?
OTHERS,What is a dangling participle ?
5,What Tokyo street glitters with famed department stores and nightclubs ?
4,What was the average life expectancy during the Stone Age ?
OTHERS,"When Mighty Mouse was conceived , what was his original name ?"
OTHERS,What is the origin of the peace symbol ?
OTHERS,What group starred in the movie Rock Around the Clock ?
4,How many U.S. presidents were assassinated during Queen Victoria 's reign ?
4,When was the first flush toilet invented ?
OTHERS,What is Nathan Hamill 's role in the new Star Wars prequel ?
4,How many disks does each player have in a four-handed game of Crokinole ?
4,How old is the sun ?
4,What percentage of children between the ages of two and eleven watch ` The Simpsons ' ?
OTHERS,"How can I find a list of , fax and or email , addresses for human resource departments in Massachusetts ?"
OTHERS,How do I write to my Congressman ?
4,How many years ago did Led Zeppelin release its last album ?
1,What is the term for a group of geese ?
1,What was the name of the famous battle between Texas and Mexico ?
1,What do you call a Poker hand with five cards of the same suit ?
OTHERS,What New York Yankee was known as The Iron Horse ?
OTHERS,Who is considered The First Lady of the American Stage ?
OTHERS,Who penned : `` Neither a borrower nor a lender be '' ?
OTHERS,What is moxie ?
1,What was the first Sam Spade novel ?
1,What song did Patti Page set people dancing to in 1950 ?
OTHERS,Who headed Hitler 's infamous Gestapo ?
5,"What island group contains Jersey , Guernsey , Sark and Herm ?"
1,What is a fear of strong light ?
OTHERS,What is a person called that likes fire ?
5,"Where was helium first discovered , hence its name ?"
1,What is the best way to overcome a fear ?
OTHERS,Name a South African diamond producer ?
OTHERS,Who made the musical plea Be True to Your School ?
OTHERS,What French designer declared : `` The jean is the destructor ! It is a dictator ! It is destroying creativity. The jean must be stopped ! '' ?
4,What season is the setting for Shakespeare 's Midsummer Night 's Dream ?
OTHERS,Name a band which was famous in the 1960 's .
OTHERS,What comedian was banned from the Ed Sullivan Show for allegedly making an obscene gesture at the show 's host ?
5,What country is the setting for Edgar Allan Poe 's The Pit and the Pendulum ?
OTHERS,What Apollo 11 astronaut minded the store while Armstrong and Aldrin made history ?
4,What is the current ticket fare from from Cairo to Barbados ?
5,What is the second highest mountain peak in the world ?
OTHERS,What Good Little Witch is Casper 's girlfriend ?
1,In which Tennessee Williams play is one of the characters killed and devoured by a mob of starving children ?
OTHERS,"What was the nickname of Frederick I , Holy Roman Emperor and King of Germany ?"
1,What war did the Potsdam Conference follow ?
1,What 's the most common non-contagious disease in the world ?
4,"What month , date , and year did Charles I die ?"
4,How many cubic feet of space does a gallon of water occupy ?
OTHERS,What is the hair style called that new military recruits receive ?
5,What 's the world 's largest cathedral ?
OTHERS,What effects do nitrates have on the environment ?
OTHERS,What is Nitrox diving ?
5,What three European countries begin with the letter A ?
OTHERS,What happened in the Long March ?
OTHERS,How can I find online spelling ?
OTHERS,Who made Stonehenge ?
4,What is the average hourly rate of American workers ?
1,What sport features snatches and clean jerks ?
OTHERS,Who 's the founder and editor of The National Review ?
4,In what year did they build the Berlin Wall ?
OTHERS,Who was the first governor of West Virginia ?
5,What 's the world 's longest suspension bridge ?
5,What Asian city boasts the world 's biggest bowling alley ?
4,When will Jean Aeul publish her next book ?
OTHERS,"What famous soldier was born in Europe , died in Asia , and was laid to rest in Africa ?"
1,"When it 's time to relax , what one beer stands clear ?"
OTHERS,What culture developed the idea of potlatch ?
OTHERS,What baseball team became the Minnesota Twins ?
1,What kind of guitar did Jimi Hendrix play ?
5,What were the first three cities to have a population of more than a million ?
5,What constellation contains the twins Castor and Pollux ?
4,How many meters are in a mile ?
OTHERS,What is a gas release event ?
5,What famed London criminal court was once a feudal castle ?
4,How many milligrams are in a gram ?
1,What stringed weapon fires a bolt ?
5,Where did he get the title ?
5,Where can I find a large list of 5 to 6 letter words ?
OTHERS,What is Michael Jackson 's middle name ?
OTHERS,Who was the first woman to fly solo across the Atlantic ?
4,How long is human gestation ?
OTHERS,What does `` Semper Fidelis '' mean ?
5,Where does Mother Angelica live ?
OTHERS,How can I find out my Moon sign ?
OTHERS,Why does a candle need a wick ?
1,Musician Ray Charles plays what instrument ?
OTHERS,What were the three prophecies the witches make to Macbeth ?
4,What 's the population of Mississippi ?
OTHERS,Who started the Dominos Pizza chain ?
1,In what film did Steven Spielberg 's dog star as the main character 's dog ?
1,What are all the different kinds of contraceptives ?
4,How old is Jeremy Piven ?
OTHERS,What is the history of yo-yos ?
OTHERS,Which NBA players had jersey number 0 ?
OTHERS,What chocolate company gives you a one-pound kiss ?
OTHERS,How does one correctly pronounce ` qigong ' ?
1,What fossilizes to form coprolite ?
4,How many colored squares are there on a Rubik 's Cube ?
5,Where is the Mayo Clinic ?
5,What Caribbean island is sometimes called Little England ?
5,Where is Amsterdam ?
OTHERS,"Who is the famous movie star who also acted as sewer commissioner of Provo Canyon , Utah ?"
5,What Australian city became the home of the America 's Cup ?
1,Aspartame is known by what other name ?
OTHERS,What is pasta ?
OTHERS,Name Randy Craft 's lawyer .
1,What color is `` ash '' ?
OTHERS,What is the best distance education university or college ?
5,What river does the Grand Coulee Dam dam ?
OTHERS,How does psorisis disappear ?
4,How many presidents have died on the 4th of July ?
1,What three colors are on the French flag ?
OTHERS,What 's the mystery of the Bermuda Triangle ?
1,What are the seven wonders of the world ?
2,What does CNN stand for ?
OTHERS,What is a person called that likes fire ?
OTHERS,Who portrayed Vincent Van Gogh in Lust for Life ?
5,What is a reliable site that I can download Heretic 2 ?
OTHERS,What is a neurosurgeon ?
1,"What baseball outcome required nine balls in 1879 , eight balls in 1880 and seven balls in 1881 ?"
OTHERS,What are amaretto biscuits ?
1,What common ailment can 't you catch at the North Pole ?
OTHERS,Who was known as the Time Master in comic books ?
1,What was the name of Roy Rogers 's dog ?
5,Where did cable cars first roll down Clay Street in 1873 ?
5,What is George Lucas 's e-mail address ?
OTHERS,How do I give a good massage ?
OTHERS,Who is the father of the computer ?
OTHERS,What is the origin of `` jiggy '' as in getting jiggy with it ?
OTHERS,What is the origin of a.m. and p.m. ?
OTHERS,What is the definition of cosmology ?
1,What is the name of the dog on the Cracker Jack box ?
OTHERS,What are manifest and latent function theories ?
1,What William Styron book is about a black preacher who leads a slave revolt ?
1,What is the chemical symbol for nitrogen ?
OTHERS,Who said : `` Old soldiers never die ; they just fade away '' ?
OTHERS,What National League baseball team employed 72 third baseemen in its first 2 seasons ?
OTHERS,What are snowballs to a hot-rodder ?
OTHERS,What is the origin of the word Ozymandias ?
OTHERS,Who 's the only man to have won the Olympic decathlon twice ?
5,What Kenyan city is the safari center for East Africa ?
OTHERS,Why do men snore ?
OTHERS,What causes `` rolling thunder '' ?
5,What four U.S. states have active volcanoes ?
OTHERS,What 's the setting of John Le Carre 's A Small Town in Germany ?
OTHERS,What is the secret of the universe ?
OTHERS,Who was the second man to walk on the moon ?
OTHERS,What caused an adjournment of the 25th anniversary session of the United Nations General Assembly ?
1,What is the name of the Islamic counterpart to the Red Cross ?
4,What year were the Olympic Games played in where Nadia Comaneci became popular ?
1,What is glass made of ?
OTHERS,How did Lee Harvey Oswald purchase his rifle ?
OTHERS,How do I sing like Elvis Presley ?
5,What are the biggest Indian airports ?
1,What is the folklore story regarding birds ' nests and birds in Christmas trees ?
5,"What are the world 's three largest oceans , in order of size ?"
OTHERS,Who is the Pope ?
5,Where on the Internet can I find information on laundry detergent ?
1,What 's an easy way to count the approximate number of fish in a lake ?
OTHERS,How do you clean up a cache ?
1,What was the name of Aristotle Onassis 's yacht ?
1,What is a fear of being dirty ?
